,date4,size,BTC Price,Date1
182,2017-08-06,5,3254.71,2017-08-06
183,2017-08-08,5,3474.7625,2017-08-08
184,2017-08-10,4,3364.41125,2017-08-10
185,2017-08-12,2,3705.43,2017-08-12
186,2017-08-14,1,4036.7575,2017-08-14
187,2017-08-16,3,4118.9025,2017-08-16
188,2017-08-18,6,4311.685,2017-08-18
189,2017-08-19,1,4180.23875,2017-08-19
190,2017-08-20,4,4139.38125,2017-08-20
191,2017-08-22,8,3911.27625,2017-08-22
192,2017-08-24,2,4178.75625,2017-08-24
193,2017-08-26,7,4359.9025,2017-08-26
194,2017-08-28,3,4340.46,2017-08-28
195,2017-08-30,3,4664.64375,2017-08-30
196,2017-09-01,1,4783.17,2017-09-01
197,2017-09-03,3,4672.56875,2017-09-03
198,2017-09-05,6,4160.535,2017-09-05
199,2017-09-07,4,4543.1025,2017-09-07
200,2017-09-09,7,4280.975,2017-09-09
201,2017-09-11,3,4307.82625,2017-09-11
202,2017-09-13,2,3944.58375,2017-09-13
203,2017-09-15,3,3358.10875,2017-09-15
204,2017-09-17,2,3608.595,2017-09-17
205,2017-09-21,2,3827.685,2017-09-21
206,2017-09-25,1,3753.435,2017-09-25
207,2017-09-27,1,3939.515,2017-09-27
208,2017-09-29,5,4062.20375,2017-09-29
209,2017-10-01,3,4300.55125,2017-10-01
210,2017-10-03,3,4424.4725,2017-10-03
211,2017-10-05,3,4186.78374,2017-10-05
212,2017-10-07,2,4370.16875,2017-10-07
213,2017-10-09,2,4624.34875,2017-10-09
214,2017-10-11,4,4741.70875,2017-10-11
215,2017-10-13,1,5728.5475,2017-10-13
216,2017-10-15,5,5779.07375,2017-10-15
217,2017-10-17,2,5643.55375,2017-10-17
218,2017-10-19,1,5627.08625,2017-10-19
219,2017-10-21,4,6098.115,2017-10-21
220,2017-10-23,4,5969.795,2017-10-23
221,2017-10-25,4,5550.85875,2017-10-25
222,2017-10-29,4,5741.7225,2017-10-29
223,2017-10-31,2,6130.56375,2017-10-31
224,2017-11-04,3,7210.46875,2017-11-04
225,2017-11-06,3,7231.93,2017-11-06
226,2017-11-08,5,7356.50625,2017-11-08
227,2017-11-12,4,6075.30125,2017-11-12
228,2017-11-14,2,6666.27125,2017-11-14
229,2017-11-16,4,7259.3,2017-11-16
230,2017-11-18,2,7598.2775,2017-11-18
231,2017-11-20,1,7954.7675,2017-11-20
232,2017-11-24,3,8094.445,2017-11-24
233,2017-11-26,4,8851.305,2017-11-26
234,2017-11-28,2,9713.09625,2017-11-28
235,2017-11-30,2,10542.6625,2017-11-30
236,2017-12-02,1,10923.20125,2017-12-02
237,2017-12-04,6,11382.20875,2017-12-04
238,2017-12-06,1,12230.365,2017-12-06
239,2017-12-08,2,16403.42125,2017-12-08
240,2017-12-10,1,13152.52875,2017-12-10
241,2017-12-12,2,16374.8975,2017-12-12
242,2017-12-14,2,16246.13875,2017-12-14
243,2017-12-20,3,16862.57125,2017-12-20
244,2017-12-22,3,14182.46499,2017-12-22
245,2017-12-24,1,14103.21875,2017-12-24
246,2017-12-28,2,14362.40375,2017-12-28
247,2017-12-30,2,13643.695,2017-12-30
248,2018-01-02,2,13337.62125,2018-01-02
249,2018-01-06,1,16576.69625,2018-01-06
250,2018-01-08,2,15632.41125,2018-01-08
251,2018-01-10,6,14122.825,2018-01-10
252,2018-01-12,1,13633.36375,2018-01-12
